feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Candidatus_Alysiosphaera	Treatment	Exposed	-0.0938840029766354	0.16820590139564	35	3	0.58050985834004	0.650500408636356
Ensifer	Treatment	Exposed	-0.151421362651653	0.279726069599476	35	7	0.591922958354036	0.658618502957308
Legionella	Treatment	Exposed	0.152341496169552	0.311450060604359	35	7	0.627980708270562	0.693852810536705
Coxiella	Treatment	Exposed	0.139185187946753	0.307967132638798	35	4	0.654263032913197	0.717871938890869
IMCC26207	Treatment	Exposed	0.0446243557344231	0.120880880063346	35	2	0.714366837989479	0.778413520016122
Mesorhizobium	Treatment	Exposed	0.134447060690253	0.388833317743976	35	8	0.7317099288413	0.787795082603868
RCP2.54.Genus	Treatment	Exposed	0.0402303785846853	0.116912242097742	35	2	0.732948589511193	0.787795082603868
Rhizobiaceae.Genus	Treatment	Exposed	-0.0353523155825007	0.105188778702485	35	2	0.738934840023297	0.788862869754601
Rhizobiales.Genus	Treatment	Exposed	-0.231216073527786	0.886799013297015	35	22	0.795920083970998	0.832817041506078
Planctomycetales.Genus	Treatment	Exposed	0.0724521124265345	0.272478111944381	35	3	0.791969973140283	0.832817041506078
Streptococcus	Treatment	Exposed	0.146834749771759	0.562829347942639	35	3	0.795801021490423	0.832817041506078
Beijerinckiaceae.Genus	Treatment	Exposed	-0.219196795781711	0.868822107098903	35	21	0.802380238066648	0.834053142200858
Desulfarculaceae.Genus	Treatment	Exposed	-0.0146332917801588	0.0889829368032073	35	2	0.870379658578445	0.898823438270551
Parachlamydiaceae.Genus	Treatment	Exposed	0.0664847089983717	0.442123258313608	35	5	0.88138340593268	0.904276481411451
Iamia	Treatment	Exposed	-0.0119872852020989	0.0870309383581225	35	2	0.891286138760116	0.908536838219989
Pseudorhodoplanes	Treatment	Exposed	0.0369184985948061	0.309613999600848	35	6	0.905807846082235	0.911577322808874
Smaragdicoccus	Treatment	Exposed	0.0668186531991169	0.529482724516966	35	5	0.90034245290116	0.911577322808874
Reyranella	Treatment	Exposed	0.0366278574639998	0.334232568904317	35	10	0.913399894749766	0.913399894749766
